d_dien_bien;Dien Bien;;;;;;;;;x;;;;;;;
d_dien_bien_adj;Dien Bien;;;;;;;;;x;;;;;;;
d_lao_cai;Lao Cai;;;;;;;;;x;;;;;;;
d_lao_cai_adj;Lao Cai;;;;;;;;;x;;;;;;;
d_hanoi;Hanoi;;;;;;;;;x;;;;;;;
d_hanoi_adj;Hanoi;;;;;;;;;x;;;;;;;
d_ha_giang;Ha Giang;;;;;;;;;x;;;;;;;
d_ha_giang_adj;Ha Giang;;;;;;;;;x;;;;;;;
d_caobang;Cao Bang;;;;;;;;;x;;;;;;;
d_caobang_adj;Cao Banger;;;;;;;;;x;;;;;;;
d_ca_mau;Ha Tien;;;;;;;;;x;;;;;;;
d_ca_mau_adj;Ha Tien;;;;;;;;;x;;;;;;;
d_an_giang;An Giang;;;;;;;;;x;;;;;;;
d_an_giang_adj;An Giang;;;;;;;;;x;;;;;;;
d_binh_thuan;Binh Thuan;;;;;;;;;x;;;;;;;
d_binh_thuan_adj;Binh Thuanian;;;;;;;;;x;;;;;;;
d_vinh_long;Vinh Long;;;;;;;;;x;;;;;;;
d_vinh_long_adj;Vinh Longer;;;;;;;;;x;;;;;;;
d_saigon;Saigon;;;;;;;;;x;;;;;;;
d_saigon_adj;Saigon;;;;;;;;;x;;;;;;;
d_thua_thien;Thua Thien;;;;;;;;;x;;;;;;;
d_thua_thien_adj;Thua Thien;;;;;;;;;x;;;;;;;
d_binh_dinh;Binh Dinh;;;;;;;;;x;;;;;;;
d_binh_dinh_adj;Binh Dinh;;;;;;;;;x;;;;;;;
d_quang_nam;Quang Nam;;;;;;;;;x;;;;;;;
d_quang_nam_adj;Quang Nam;;;;;;;;;x;;;;;;;
k_degar;Kudayanagar;;;;;;;;;x;;;;;;;
k_degar_adj;Dagar;;;;;;;;;x;;;;;;;
k_champa;Champapura;;;;;;;;;x;;;;;;;
k_champa_adj;Cham;;;;;;;;;x;;;;;;;

#Cao Dai
GRAND_CENSURE;Grand Censure;;;;;;;;;;;;;x

GIAO_TONG;Giao-Tong;;;;;;;;;;;;;x

THE_HIGH_COUNCIL;The High Council;;;;;;;;;;;;;x



STAT_PIETY_DEVOTION;Devotion;;;;;;;;;;;;;x

STAT_PIETY_MENU_DEVOTION;Devotion;;;;;;;;;;;;;x

STAT_PIETY_DESC_DEVOTION;Devotion is respected by the clergy and especially the head of your Religion. It can be spent to petition the head of your Religion. Like Prestige, it is added to your score on the death of a ruler.;;;;;;;;;;;;;x



title_caodai_cardinal;Cardinal;;;;;;;;;;;;;x

CAO_DAI_PRIEST;Thay tu;;;;;;;;;;;;;x

HEAD_CAODAI;Giao-Tong;;;;;;;;;;;;;x

HIEP_THIEN_DAI;Hiep Thien Dai;;;;;;;;;;;;;x

expected_next_title_caodai;Expected Next Giao-Tong;;;;;;;;;;;;;x

best_candidate_title_caodai;Your Best Giao-Tong Candidate;;;;;;;;;;;;;x



d_cao_dai;Cuu Trung Dai;;;;;;;;;;;;;x

d_cao_dai_adj;Giao-Tong Kinh;;;;;;;;;;;;;x

empire_of_chamic;Samrajya;;;;;;;;;;;;;x
emperor_chamic;Potanaraya;;;;;;;;;;;;;x
emperor_female_chamic;Potanaraya;;;;;;;;;;;;;x
kingdom_of_chamic;Nagara;;;;;;;;;;;;;x
king_chamic;Maharajadiraja;;;;;;;;;;;;;x
king_female_chamic;Maharajadiraja;;;;;;;;;;;;;x
duchy_of_chamic;Principality of;;;;;;;;;;;;;x
duke_chamic;Maharaja;;;;;;;;;;;;;x
duke_female_chamic;Maharaja;;;;;;;;;;;;;x
count_chamic;Raja;;;;;;;;;;;;;x
count_female_chamic;Raja;;;;;;;;;;;;;x
chamic;Chamic;;;;;;;;;;;;;x
cham;Cham;;;;;;;;;;;;;x

empire_of_tai;Phen-Din;;;;;;;;;;;;;x
emperor_tai;Chau Phen Din;;;;;;;;;;;;;x
emperor_female_tai;Chau Fa Ying;;;;;;;;;;;;;x
kingdom_of_tai;Principality of;;;;;;;;;;;;;x
king_tai;Chau Lum Fa;;;;;;;;;;;;;x
king_female_tai;Chau Lum Fa;;;;;;;;;;;;;x
duchy_of_tai;State of;;;;;;;;;;;;;x
duke_tai;Chau Fa;;;;;;;;;;;;;x
duke_female_tai;Chau Nang;;;;;;;;;;;;;x
count_tai;Chau Muong;;;;;;;;;;;;;x
count_female_tai;Chau Muong;;;;;;;;;;;;;x

thuyhoa_pagan;Thuy Hoa;;;;;;;;;;;;;x
thuyhoa_pagan_DESC;Thuy Hoa is a shamanistic tradition preserved orally since time immemorial, rumored to be the descendant of an Empire predating Kali-Yuga itself. The followers of this faith pay respect to direct lineages of ancient elemental gods in hope of a prosperous life.;;;;;;;;;;;;;x
thuyhoa_pagan_reformed;Cult of Sadet;;;;;;;;;;;;;x
thuyhoa_pagan_reformed_DESC;Cult of Sadet venerate the lineage of Sdet Fa and Sdet Fai, The Dual elemental deities who protected Degar Kingdom's from Kali-Yuga. Their adherents aspire to be worthy of their grace.;;;;;;;;;;;;;x
GOD_XA;Heavenly Xa;;;;;;;;;;;;;x
GOD_SDET_FAI;Heavenly Flame;;;;;;;;;;;;;x
GOD_SDET_NAM;Heavenly Water;;;;;;;;;;;;;x
PUTAO;Putao;;;;;;;;;;;;;x
d_thuyhoa_pagan_reformed;The Heavenly Samdet;;;;;;;;;;;;;x
d_thuyhoa_pagan_reformed_adj;The Heavenly Samdet;;;;;;;;;;;;;x
SDET;Maha Sdet;;;;;;;;;;;;;x
d_satsana_pi_pagan_reformed;Phya Thaen's Court;;;;;;;;;;;;;x
d_satsana_pi_pagan_reformed_adj;Thaen's Court;;;;;;;;;;;;;x
MOPI;Mo-Pi;;;;;;;;;;;;;x
SOMDET_PHI;Somdet Pi;;;;;;;;;;;;;x
GOD_PI_THAEN;Pi Thaen;;;;;;;;;;;;;x
GOD_PI_MOUNG;Moung's Guardians;;;;;;;;;;;;;x
GOD_PI_FA;Pi Fa;;;;;;;;;;;;;x
satsana_pi_pagan;Satsana Pi;;;;;;;;;;;;;x
satsana_pi_pagan_DESC;Satsana Pi is the religion of Vietnamese Tay originated from the primodial cult of Phaya Thaen, it was the faith of Nguyen court before they have been led astray. Time will tell if this faith will regain favor or die in obscurity.;;;;;;;;;;;;;x
satsana_pi_pagan_reformed;Cult of Thaen;;;;;;;;;;;;;x
satsana_pi_pagan_reformed_DESC;Cult of Thaen is the ancient religion of Tay people that has persisted from persceution and competition through miraculous means. May Thaen blesses them in their quest to reclaim Sayam Pathet.;;;;;;;;;;;;;x
hmongism;Hmongist;;;;;;;;;;;;;x
hmongism_DESC;Hmongism is the faith of Hmong, combining Western tradition and Eastern spiritualism together;;;;;;;;;;;;;x
ho_cult;Cult of Ho;;;;;;;;;;;;;x
GOD_HO;Heavenly Ho;;;;;;;;;;;;;x
GOD_HO_UNCLE;Bác Ho;;;;;;;;;;;;;x
ho_cult_DESC;Cult of Ho is the spiritual descendant of the personality cult formed around the ancient legendary leader, Uncle Ho. They believe that before Uncle Ho’s time, Vietnam was subjugated by many different creeds of foreigner. Even after Uncle Ho liberated the nation, the warlock of the west cursed them with infertile soils and dangerous trap. Still, with the nation free, He ruled justly until his ascent to Heavenly realm. The teaching he left behind encouraged his followers to govern justly and help fellow men, but also prioritize defense against revisionist and other reactionary forces.;;;;;;;;;;;;;x

#CAODAI SCHOOL DECISION
choose_caodai_way;Select Your Paths;;;;;;;;;x
choose_caodai_way_desc;Caodai is a religion with many paths destined before you, and now it is time to choose the path you will walk.;;;;;;;;;x
eacr1Desc;Caodai is a religion with many paths destined before you, and now it is time to choose the path you will walk.;;;;;;;;;x
EVTOPTA_eacr1;I shall devote my prayers to the Saints and their lord!;;;;;;;;;x
EVTOPTB_eacr1;I will become a Taoist.;;;;;;;;;x
EVTOPTC_eacr1;Our ancestors follow the words of Confucius.;;;;;;;;;x
EVTOPTD_eacr1;I shall strike a balance in search of everlasting peace.;;;;;;;;;x
way_saint;The Path of Saintly Providence;;;;;;;;;x
way_tao;The Path of Pure Souls;;;;;;;;;x
way_confucius;The Path of the Wise;;;;;;;;;x
way_buddha;The Path of Pure Land;;;;;;;;;x

