trinity_full;The Trinity;;;;;;;;;;;;x
trinity_full_desc;This person is, or is descended from emanations of the entire trinity.;;;;;;;;;;;;x
trinity_the_son;The Son;;;;;;;;;;;;x
trinity_the_son_desc;This person is, or is descended from an emanation of the Son.;;;;;;;;;;;;x
trinity_the_father;The Father;;;;;;;;;;;;x
trinity_the_father_desc;This person is, or is descended from an emanation of the Father.;;;;;;;;;;;;x
trinity_the_spirit;The Holy Spirit;;;;;;;;;;;;x
trinity_the_spirit_desc;This person is, or is descended from an emanation of the Holy Spirit.;;;;;;;;;;;;x
found_son_emanation;Found an Emanation of the Son;;;;;;;;;;;;x
found_father_emanation;Found an Emanation of the Father;;;;;;;;;;;;x
found_spirit_emanation;Found an Emanation of the Spirit;;;;;;;;;;;;x
##############
trinity_claim_to_be_son;Claim to be the next emanation of the Son;;;;;;;;;;;;x
trinity_claim_to_be_son_desc;The Alawite faith believes that god exists as a trinity which is emanated across history as various reincarnations of each aspect. Could I be the next emanation of the Son?;;;;;;;;;;;;x
trinity_claim_to_be_father;Claim to be the next emanation of the Father;;;;;;;;;;;;x
trinity_claim_to_be_father_desc;The Alawite faith believes that god exists as a trinity which is emanated across history as various reincarnations of each aspect. Could I be the next emanation of the Father?;;;;;;;;;;;;x
trinity_claim_to_be_spirit;Claim to be the next emanation of the Holy Spirit;;;;;;;;;;;;x
trinity_claim_to_be_spirit_desc;The Alawite faith believes that god exists as a trinity which is emanated across history as various reincarnations of each aspect. Could I be the next emanation of the Holy Spirit?;;;;;;;;;;;;x
trinity_merge_bloodlines;Merge the bloodlines of the Trinity.;;;;;;;;;;;;x
trinity_merge_bloodlines_desc;As I hold bloodlines of all three aspects of the Trinity, I truly am an Icon of the Trinity.;;;;;;;;;;;;x
##############
AtrinityDesc1;The ritual begins and you partake in several mind expanding herbs to bring you in closer contact with the greater whole of the Son. Is your essence a fragment of it's own?;;;;;;;;;;;;x
Atrinity1OPTA;I cannot sense its essence, I will continue my attempt.;;;;;;;;;;;;x
Atrinity1OPTB;Yes I share in its essence.;;;;;;;;;;;;x
Atrinity1OPTC;Yes definitely I share in its essence.;;;;;;;;;;;;x
Atrinity1OPTD;Yes certainly I share in its essence.;;;;;;;;;;;;x
AtrinityDesc2;You awaken from the trance after several days have passed, you have suffered no ill effects from the ritual and thus must be an emanation of the Son.;;;;;;;;;;;;x
Atrinity2OPTA;I am the Son;;;;;;;;;;;;x
AtrinityDesc3;You awaken from the trance after several days have passed,  you have been told that you were temporarily incapacitated due to vomiting, though you remember none of this. You have failed in your attempt.;;;;;;;;;;;;x
Atrinity3OPTA;I have failed!;;;;;;;;;;;;x
##############
AtrinityDesc4;The ritual begins and you partake in several mind expanding herbs to bring you in closer contact with the greater whole of the Father. Is your essence a fragment of it's own?;;;;;;;;;;;;x
Atrinity4OPTA;I cannot sense its essence, I will continue my attempt.;;;;;;;;;;;;x
Atrinity4OPTB;Yes I share in its essence.;;;;;;;;;;;;x
Atrinity4OPTC;Yes definitely I share in its essence.;;;;;;;;;;;;x
Atrinity4OPTD;Yes certainly I share in its essence.;;;;;;;;;;;;x
AtrinityDesc5;You awaken from the trance after several days have passed, you have suffered no ill effects from the ritual and thus must be an emanation of the Father.;;;;;;;;;;;;x
Atrinity5OPTA;I am the Father;;;;;;;;;;;;x
AtrinityDesc6;You awaken from the trance after several days have passed,  you have been told that you were temporarily incapacitated due to vomiting, though you remember none of this. You have failed in your attempt.;;;;;;;;;;;;x
Atrinity6OPTA;I have failed!;;;;;;;;;;;;x
##############
AtrinityDesc7;The ritual begins and you partake in several mind expanding herbs to bring you in closer contact with the greater whole of the Holy Spirit. Is your essence a fragment of it's own?;;;;;;;;;;;;x
Atrinity7OPTA;I cannot sense its essence, I will continue my attempt.;;;;;;;;;;;;x
Atrinity7OPTB;Yes I share in its essence.;;;;;;;;;;;;x
Atrinity7OPTC;Yes definitely I share in its essence.;;;;;;;;;;;;x
Atrinity7OPTD;Yes certainly I share in its essence.;;;;;;;;;;;;x
AtrinityDesc8;You awaken from the trance after several days have passed, you have suffered no ill effects from the ritual and thus must be an emanation of the Holy Spirit.;;;;;;;;;;;;x
Atrinity8OPTA;I am the Holy Spirit;;;;;;;;;;;;x
AtrinityDesc9;You awaken from the trance after several days have passed,  you have been told that you were temporarily incapacitated due to vomiting, though you remember none of this. You have failed in your attempt.;;;;;;;;;;;;x
Atrinity9OPTA;I have failed!;;;;;;;;;;;;x
##############
berber_opinion;Berber Opinion;;;;;;;;;;;;x
c_gagauzia_adj;Gagauzian;;;;;;;;;;;;x
b_comrat;Comrat;;;;;;;;;;;;x
b_chirsova;Chirsova;;;;;;;;;;;;x
b_avdarma;Avdarma;;;;;;;;;;;;x
b_kongaz;Kongaz;;;;;;;;;;;;x
b_tomal;Tomal;;;;;;;;;;;;x
b_cazaclia;Cazaclia;;;;;;;;;;;;x
b_sadic;Sadic;;;;;;;;;;;;x
b_joltai;Joltai;;;;;;;;;;;;x
c_razgrad_adj;Razgradian;;;;;;;;;;;;x
b_razgrad;Razgrad;;;;;;;;;;;;x
b_osenets;Osenets;;;;;;;;;;;;x
b_ezerche;Ezerche;;;;;;;;;;;;x
b_dyankovo;Dyankovo;;;;;;;;;;;;x
b_kamenovo;Kamenovo;;;;;;;;;;;;x
b_seydol;Seydol;;;;;;;;;;;;x
b_samuil;Samuil;;;;;;;;;;;;x
b_senovo;Senovo;;;;;;;;;;;;x
k_istromania;Istromania;;;;;;;;;;;;x
k_istromania_adj;Istromanian;;;;;;;;;;;;x
b_andua;Andua;;;;;;;;;;;;x
b_dumki;Dumki;;;;;;;;;;;;x
c_khulna_adj;Khulnan;;;;;;;;;;;;x
b_khulna;Khulna;;;;;;;;;;;;x
b_jordia;Jordia;;;;;;;;;;;;x
b_satkhira;Satkhira;;;;;;;;;;;;x
b_mongla;Mongla;;;;;;;;;;;;x
b_batlaghata;Batlaghata;;;;;;;;;;;;x
b_khatiakhall;Khatiakhall;;;;;;;;;;;;x
b_channir;Channir;;;;;;;;;;;;x
c_aran_adj;Aranian;;;;;;;;;;;;x
b_vielha;Vielha;;;;;;;;;;;;x
b_baqueira;Baqueira;;;;;;;;;;;;x
b_arties;Arties;;;;;;;;;;;;x
b_vilac;Vilac;;;;;;;;;;;;x
b_les;Les;;;;;;;;;;;;x
b_bausen;Bausen;;;;;;;;;;;;x
b_bagergue;Bagergue;;;;;;;;;;;;x
b_garos;Garos;;;;;;;;;;;;x
c_briancon;Briancon;;;;;;;;;;;;x
b_neffes;Neffes;;;;;;;;;;;;x
b_manteyer;Manteyer;;;;;;;;;;;;x
b_crots;Crots;;;;;;;;;;;;x
b_risoul;Risoul;;;;;;;;;;;;x
b_guillestre;Guillestre;;;;;;;;;;;;x
b_arvieux;Arvieux;;;;;;;;;;;;x
b_saint-chaffrey;Saint-Chaffrey;;;;;;;;;;;;x
b_vallouise-pelvoux;Vallouise-Pelvoux;;;;;;;;;;;;x
EMANANCE;Emanance;;;;;;;;;;;;x
d_alawite;Throne of the Trinity;;;;;;;;;;;;x
d_alawite_adj;Trinitarian;;;;;;;;;;;;x
alawite_opinion;Alawite Opinion;;;;;;;;;;;;x
nusayri_opinion;[nusayri.GetName] Opinion;;;;;;;;;;;;x
nord_opinion;[nord.GetGroupName] Opinion;;;;;;;;;;;;x
d_fianna;Fianna;;;;;;;;;;;;x
d_fianna_adj;Fiannan;;;;;;;;;;;;x
took_penicillin_timer;Recently Took Penicillin;;;;;;;;;;;;x
esoteric_literature;Esoteric Literature;;;;;;;;;;;;x
esoteric_literature_desc;This is the fusion of several mystic tomes building towards something greater, I am on the verge of understanding.;;;;;;;;;;;;x
