EVTDESCAPIR500;As your companions pack your ships with the loot from [From.GetName], a young marauder comes to you. He tells you that he spotted a great spot to build a pirate den. Plenty of your other warriors want to stay here and continue ravaging the land after the rest of you return home.;;;;;;;;;;;;;x
EVTOPTAPIR500;Just keep the wine cold until my next visit.;;;;;;;;;;;;;x
EVTOPTBPIR500;We need to move on.;;;;;;;;;;;;;x
TOOLTIP_EVTOPTAPIR500;A pirate den will be built in [scoped_province.GetName].;;;;;;;;;;;;;x
EVTDESCAPIR501;You are preparing to move on from [From.GetName] to the next settlement, when a [character_to_join_pirates.GetManWoman] runs past your guards to speak with you. [character_to_join_pirates.GetSheHeCap] explains that [character_to_join_pirates.GetSheHe] wants to join your forces and live like you. Some of your warriors start to smile behind [character_to_join_pirates.GetHerHim] as [character_to_join_pirates.GetSheHe] clearly doesn't know how hard your lives are.;;;;;;;;;;;;;x
EVTOPTAPIR501;Welcome to the team!;;;;;;;;;;;;;x
EVTOPTBPIR501;You can come with us... as a prisoner.;;;;;;;;;;;;;x
EVTOPTCPIR501;Lead this fool back to [character_to_join_pirates.GetHerHis] people.;;;;;;;;;;;;;x
fort_pirate_den_1;Small Pirate Den;;;;;;;;;;;;;x
fort_pirate_den_2;Pirate Den;;;;;;;;;;;;;x
fort_pirate_den_3;Large Pirate Den;;;;;;;;;;;;;x
fort_pirate_den_desc;This is a shady place where pirates gather.;;;;;;;;;;;;;x
EVTDESCAPIR100;You returned with a great amount of loot to your ports. Now your duty would be to share this with your suzerain so [Root.Suzerain.GetSheHe] will continue to turn a blind eye to your campaigns.;;;;;;;;;;;;;x
EVTOPTAPIR100;Give [Root.Suzerain.GetHerHim] the biggest chest full of gold.;;;;;;;;;;;;;x
EVTOPTBPIR100;Send [Root.Suzerain.GetHerHim] a bag of silver or something.;;;;;;;;;;;;;x
EVTOPTCPIR100;What about nothing?;;;;;;;;;;;;;x
EVTDESCAPIR101;[From.GetBestName] returned with loot to [From.GetHerHis] port. Thanks to tolerating [From.GetHerHis] little campaign, [From.GetSheHe] surprised you with a chest full of gold.;;;;;;;;;;;;;x
EVTOPTAPIR101;Splendid.;;;;;;;;;;;;;x
opinion_pirate_payed_a_lot;Charitable Corsair;;;;;;;;;;;;;x
EVTDESCAPIR102;[From.GetBestName] returned with loot to [From.GetHerHis] port. Because you tolerated [From.GetHerHis] little campaign, [From.GetSheHe] sent you a bag of silver.;;;;;;;;;;;;;x
EVTOPTAPIR102;Business as usual.;;;;;;;;;;;;;x
EVTDESCAPIR103;[From.GetBestName] returned with loot to [From.GetHerHis] port. Despite tolerating [From.GetHerHis] little campaign, [From.GetSheHe] dared not sending you a share of the treasury.;;;;;;;;;;;;;x
EVTOPTAPIR102;Traitor!;;;;;;;;;;;;;x
opinion_pirate_didnt_pay;Greedy Corsair;;;;;;;;;;;;;x
TRIBUTARY_CORSAIR_NAME;Corsair;;;;;;;;;;;;;x
TRIBUTARY_CORSAIR_PLURAL;Corsairs;;;;;;;;;;;;;x
SUZERAIN_CORSAIR_NAME;Commandore;;;;;;;;;;;;;x
TRIBUTARY_CORSAIR_TRIBUTE;Booty;;;;;;;;;;;;;x
CB_NAME_CORSAIR_TRIBUTARY;Establish Corsair State;;;;;;;;;;;;;x
WAR_NAME_CORSAIR_TRIBUTARY;$ORDER$$FIRST_ADJ$ War to Make $DEFENDER$ a Corsair State;;;;;;;;;;;;;x
