PROV1809;Chechnya;x
PROV2015;Flevoland;x
PROV2016;Suez Canal;x
PROV1606;Helsinki;x
PROV382;Turku;x
PROV604;Kalmykia;x
PROV842;Rabat;x
PROV595;Stalingrad;x
PROV821;Kalima;x
PROV1728;Umm al-Bawaki;x
PROV810;Al-Khums;x
PROV806;Shahat;x
PROV478;Laconia;x
PROV360;Munich;x
PROV2017;Lastva;x
PROV2018;Saint-Hubert;x
PROV528;Warszawa;x
PROV283;Ange;x
PROV281;Harnosand;x
PROV275;Trondheim;x
PROV277;Namsos;x 
PROV1621;Lillehammer;x 
PROV272;Oslo;x
PROV401;Kirov;x
PROV405;Kirillov;x
PROV403;Vytegra;x
PROV1814;Engels;x
PROV592;Saratov;x
PROV609;Syzran;x
PROV365;Berlin;x
PROV579;Voronezh;x
PROV2019;Terschelling;x
PROV2020;South Doggerland;x
PROV2021;North Doggerland;x
PROV2022;Storo;x
PROV2023;Lileo;x
PROV2024;Djerba;x
PROV2025;Ain Salah;x
PROV2026;Tamanrasset;x
PROV2027;Achemelmel;x
PROV2028;Ghat;x
PROV2029;Faya-Largeau;x
PROV2030;Bardai;x
PROV2031;Al-Jawf;x
PROV2032;Jalu;x
PROV2033;Al-Sahrawa;x
PROV813;Tataouine;x
PROV1789;Turkmenbashi;x
PROV598;Krasnodar;x
PROV599;Kropotkin;x
PROV607;Zimlyan;x
PROV594;Shahty;x
PROV564;Luhandon;x
PROV1658;Poltava;x
PROV565;Kharkiv;x
PROV2034;Mambai;x
PROV2035;Longford;x
PROV2036;Louth;x
PROV2037;Wicklow;x
PROV2038;Offaly;x
PROV2039;Jersey;x
PROV1771;Fada;x
PROV1741;N'Djamena;x
PROV2040;Troitsko;x
PROV2041;Zheshart;x
PROV2042;Kortkerossk;;x
PROV2043;Knyazhpogostsk;x
PROV2044;Sosnogorsk;x
PROV2045;Usinsk;x
PROV2046;Inta;x
PROV2047;Timansk;x
PROV2048;Mezensk;x
PROV2049;Bolshezemelsk;x
PROV2050;Amderminsk;x
PROV2051;Jamalski;x
PROV2052;Piuralski;x
PROV2053;Nadymski;x
PROV2054;Tasowski;x
PROV2055;Sovetsk;x
PROV2056;Beloyarsk;x
PROV2057;Kondinsk;x
PROV2058;Neftugansk;x
PROV2059;Krasnoselkup;x
PROV2060;Surgut;x
PROV2061;Nizhnevartovsk;x
PROV2062;Strezhevoy;x
PROV2063;Verkhneketsk;x
PROV2064;Kolpachevsk;x
PROV2065;Asinovsk;x
PROV2066;Pervomaysk;x
PROV2067;Teguldet;x
PROV2068;Achinsk;x
PROV2069;Motyginsk;x
PROV2070;Boguchansk;x
PROV2071;Severo;x
PROV2072;Raduzhnyi;x
PROV2073;Kogalym;x
PROV2074;Noyabrsk;x
PROV2075;Turukhansk;x
PROV2076;Dudinka;x
PROV2077;Ilimpiysk;x
PROV2078;Baykitsk;x
PROV2079;Tungussko;x
PROV2080;Taseev;x
PROV2081;Kodinsk;x
PROV2082;Ustudinsk;x
PROV2083;Ijimsk;x
PROV2084;Tayshet;x
PROV2085;Zhigalovsk;x
PROV2086;Irkutsk;x
PROV2087;Olhon;x
PROV2088;Hoyto Baygalay;x
PROV2089;Katangsk;x
PROV2090;Pribaykalsk;x
PROV2091;Bichursk;x
PROV2092;Yeravninsk;x
PROV2093;Muysk;x
PROV2094;Vuktyl;x
PROV2095;Bratsk;x
PROV1652;Kirishi;x
PROV1660;Sjasstroy;x
PROV1935;Usak;x
PROV1805;Balanjar;x
PROV675;Tarumovka;x
PROV603;Pyatigorsk;x
PROV1810;Budyonnovsk;x
PROV1811;Oktyabrsky;x
PROV1805;Makhachkala;x
PROV1668;Rzhev;x
PROV2100;Solovtsy;x
PROV2101;Jan-Mayen;x
PROV2102;Fuerteventura;x
PROV2103;Gran Canaria;x
PROV849;Lanzarote;x
PROV2118;Kythera;x
PROV2119;Adamantas;x
PROV2120;Santorini;x
PROV2121;Kea;x
PROV2122;Andros;x
PROV2123;Kos;x
PROV2124;Samos;x
PROV2125;Limnos;x
PROV1938;Kerry;x
PROV2126;Corinth Canal;x
PROV2127;Gibraltar;x
PROV2128;Ibiza;x
PROV2129;Pantelleria;x
PROV2130;Korcula;x
PROV2131;Hvar;x
