k_alania;Dagestan;;;;;;;;;x
k_alania_adj;Dagestani;;;;;;;;;x
d_caspian_steppe;Kalmykia;;;;;;;;;x
d_caspian_steppe_adj;Kalmyk;;;;;;;;;x
d_derbent;Dagestan;;;;;;;;;x
d_strymon;Macedonia;;;;;;;;;x
d_strymon_adj;Macedonian;;;;;;;;;x
d_derbent_adj;Dagestani;;;;;;;;;x
c_durdzukia;Chechnya;;;;;;;;;x
c_durdzukia_adj;Chechen;;;;;;;;;x
e_germany;Germany;;;;;;;;;x
e_germany_adj;German;;;;;;;;;x
k_epirus;Albania;;;;;;;;;x
k_epirus_adj;Albanian;;;;;;;;;x
d_dyrrachion;Albania;;;;;;;;;x
d_dyrrachion_adj;Albanian;;;;;;;;;x
d_ohrid;Western Macedonia;;;;;;;;;x
d_ohrid_adj;Western Macedonian;;;;;;;;;x
d_adrianopolis;Thrace;;;;;;;;;x
d_adrianopolis_adj;Thraceian;;;;;;;;;x
k_holland;The Netherlands;;;;;;;;;x
k_holland_adj;Netherlander;;;;;;;;;x
k_daylam;Turkmenistan;;;;;;;;;x
k_daylam_adj;Turkmenistani;;;;;;;;;x
d_pamir;Badakhshan;;;;;;;;;x
d_pamir_adj;Badakhshani;;;;;;;;;x
d_khuttal;Tajikistan;;;;;;;;;x
d_khuttal_adj;Tajikistani;;;;;;;;;x
d_ferghana;Kyrgyzstan;;;;;;;;;x
d_ferghana_adj;Kyrgyzstani;;;;;;;;;x
k_khiva;Uzbekistan;;;;;;;;;x
k_khiva_adj;Uzbekistani;;;;;;;;;x
k_khotan;Xinjiang;;;;;;;;;x
k_khotan_adj;Xinjiang;;;;;;;;;x
c_kuma;Kalmykia;;;;;;;;;x
c_kuma_adj;Kalmyk;;;;;;;;;x
c_finland;Turku;;;;;;;;;x
c_finland_adj;Turkuian;;;;;;;;;x
c_siuntio;Helsinki;;;;;;;;;x
c_siuntio_adj;Helsinkian;;;;;;;;;x
k_switzerland;Switzerland;;;;;;;;;x
k_switzerland_adj;Swiss;;;;;;;;;x
d_bulgar;Volgar;;;;;;;;;x
d_bulgar_adj;Volgar;;;;;;;;;x
d_oultrejourdain;Transjordan;;;;;;;;;x
d_oultrejourdain_adj;Transjordanian;;;;;;;;;x
b_knightslot;Knight's Lot;;;;;;;;;x
b_knightslot_adj;Knight's Lot;;;;;;;;;x
c_lastva;Lastva;;;;;;;;;x
c_lastva_adj;Lastvan;;;;;;;;;x
b_klobuk;Klobuk;;;;;;;;;x
b_zupa;Zupa;;;;;;;;;x
b_konjsko;Konjsko;;;;;;;;;x
b_kraj;Kraj;;;;;;;;;x
b_seraing;Seraing;;;;;;;;;x
b_flemalle;Flemalle;;;;;;;;;x
b_englis;Englis;;;;;;;;;x
b_saint-hubert;Saint-Hubert;;;;;;;;;x
c_saint-hubert;Saint-Hubert;;;;;;;;;x
c_saint-hubert_adj;Saint-Hubertan;;;;;;;;;x
k_italy;Piemonte;;;;;;;;;x
k_italy_adj;Piedmontian;;;;;;;;;x
KINGDOM_ITA;Kingdom of;;;;;;;;;x
KING_ITA;King;;;;;;;;;x
QUEEN_ITA;Queen;;;;;;;;;x
ITA_FOA;Your Majesty;;;;;;;;;x
k_africa;Tunisia;;;;;;;;;x
k_africa_adj;Tunisian;;;;;;;;;x
e_india;Bharata;;;;;;;;;x
e_india_adj;Indian;;;;;;;;;x
e_china_west_governor;Northern Protectorate;;;;;;;;;x
e_china_west_governor_adj;Nigerian;;;;;;;;;x
WESTERN_GOVERNOR_TITLE_FOA;Your presidency;;;;;;;;;x
WESTERN_GOVERNOR_MALE;President-Commander;;;;;;;;;x
WESTERN_GOVERNOR_FEMALE;President-Commander;;;;;;;;;x
e_russia;Malorossiya;;;;;;;;;x
e_russia_adj;Russian;;;;;;;;;x
swedish;Stockholmer;;;;;;;;;x
