#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,,,
,,,,,,
successor;Successor;;;;;;;;;;;;;x,,,,,,
successor_desc;This character is one of the former generals and vassals of the Yunani conqueror of Rajasthan,who died early in his reign.;;;;;;;;;;;;;x,,,,,
MUMBAI_REPUBLIC_LEADER;Exalted Duke;;;;;;;;;;;;;x,,,,,,
MUMBAI_REPUBLIC_LEADER_FEMALE;Exalted Duke;;;;;;;;;;;;;x,,,,,,
MUMBAI_REPUBLIC_LEADER_FOA;Your Excellency;;;;;;;;;;;;;x,,,,,,
CHHATRAPATI_TITLE;Chhatrapati;;;;;;;;;;;;;x,,,,,,
,,,,,,
,,,,,,
,,,,,,
purandara_bloodline;Blood of The Unifier;;;;;;;;;;;;;x,,,,,,
laskandar_bloodline;Blood of Laskandar;;;;;;;;;;;;;x,,,,,,
gangaraja_bloodline;Blood of the Golden Emperor;;;;;;;;;;;;;x,,,,,,
purandara_bloodline_desc;A minor king who subjugated the warring states of Southern India and united the chaotic region under one massive empire;;;;;;;;;;;;;x,,,,,,
laskandar_bloodline_desc;The great yunani conqueror who established a realm stretching from Gujarat to the Indus River. He claimed descent from Ioannes Karasci himself;;;;;;;;;;;;;x,,,,,,
gangaraja_bloodline_desc;The greatest ruler of the Sharma dynasty that once dominated north India. His reign is widely regarded as a golden age that brought stability and prosperity to the realm.;;;;;;;;;;;;;x,,,,,,
,,,,,,
,,,,,,
,,,,,,
yoonaanee_opinion;Yunani Opinion;;;;;;;;;;;;;x,,,,,,
successor_opinion;Laskandar Successor Opinion;;;;;;;;;;;;;x,,,,,,
rajput_opinion;Rajput Opinion;;;;;;;;;;;;;x,,,,,,
hindustani_opinion;Hindustani Opinion;;;;;;;;;;;;;x,,,,,,
gujurati_opinion;Gujarati Opinion;;;;;;;;;;;;;x,,,,,,
,,,,,,
,,,,,,
,,,,,,
GANGES_EMPEROR_TITLE;Swarnasamraat;;;;;;;;;;;;;x,,,,,,
GANGES_EMPEROR_TITLE_FEMALE;Swarnasamraagyi;;;;;;;;;;;;;x,,,,,,
nick_the_human;The Human;;;;;;;;;;;;;x,,,,,,
nick_the_magician;The Magician;;;;;;;;;;;;;x,,,,,,
nick_the_deathbringer;Deathbringer;;;;;;;;;;;;;x,,,,,,
nick_breaker_of_chains;Breaker of Bondage;;;;;;;;;;;;;x,,,,,,
,,,,,,
,,,,,,
,,,,,,
#BRITISH CONQUEST CB,,,,,,
CB_NAME_BRITISH_INVASION;British Invasion;;;;;;;;;;;;;x,,,,,,
WAR_NAME_BRITISH_INVASION;British Invasion;;;;;;;;;;;;;x,,,,,,
british_invasion_desc;We can wage a war to bring the Indian lands under the Queen's authority;;;;;;;;;;;;;x,,,,,,
,,,,,,
#CULTURES,,,,,,
tamil;Dehmil;;;;;;;;;;;;;x,,,,,,
yoonaanee;Yunani;;;;;;;;;;;;;x,,,,,,
malayalam;Malayalam;;;;;;;;;;;;;x,,,,,,
peninsular;Tentamil;;;;;;;;;;;;;x,,,,,,
brytwysher;Brytwysher;;;;;;;;;;;;;x,,,,,,
dhivehi;Dhivehi;;;;;;;;;;;;;x,,,,,,
,,,,,,
"##FEUDAL TAMIL, modified versions of titles taken from the Nomina Vera mod, with permission",,,,,,
###RULERS,,,,,,
baron_tamil;Vel;;;;;;;;;;;;;x,,,,,,
baron_female_tamil;Veli;;;;;;;;;;;;;x,,,,,,
count_tamil;Mannen;;;;;;;;;;;;;x,,,,,,
count_female_tamil;Manni;;;;;;;;;;;;;x,,,,,,
duke_tamil;Vendan;;;;;;;;;;;;;x,,,,,,
duke_female_tamil;Vendi;;;;;;;;;;;;;x,,,,,,
king_tamil;Rajeh;;;;;;;;;;;;;x,,,,,,
king_female_tamil;Rani;;;;;;;;;;;;;x,,,,,,
emperor_tamil;Maharajen;;;;;;;;;;;;;x,,,,,,
emperor_female_tamil;Maharani;;;;;;;;;;;;;x,,,,,,
###TITLES,,,,,,
barony_of_tamil;Velu;;;;;;;;;;;;;x,,,,,,
county_of_tamil;Mannu;;;;;;;;;;;;;x,,,,,,
duchy_of_tamil;Vendu;;;;;;;;;;;;;x,,,,,,
kingdom_of_tamil;Rajeyo;;;;;;;;;;;;;x,,,,,,
empire_of_tamil;Maharajeyo;;;;;;;;;;;;;x,,,,,,
barony_tamil;Velu;;;;;;;;;;;;;x,,,,,,
county_tamil;Mannu;;;;;;;;;;;;;x,,,,,,
duchy_tamil;Vendu;;;;;;;;;;;;;x,,,,,,
kingdom_tamil;Rajeyo;;;;;;;;;;;;;x,,,,,,
empire_tamil;Maharajeyo;;;;;;;;;;;;;x,,,,,,
##MISC,,,,,,
title_prince_tamil;Iran;;;;;;;;;;;;;x,,,,,,
title_prince_female_tamil;Iral;;;;;;;;;;;;;x,,,,,,
##JOBS,,,,,,
job_chancellor_tamil;Udaviyaalar;;;;;;;;;;;x,,,,,,
job_spymaster_tamil;Veyan;;;;;;;;;;;x,,,,,,
job_treasurer_tamil;Ndirvaaki;;;;;;;;;;;x,,,,,,
job_marshal_tamil;Maravan;;;;;;;;;;;x,,,,,,
job_spiritual_tamil;Navalar;;;;;;;;;;;x,,,,,,
,,,,,,
##FEUDAL PENINSULAR,,,,,,
###RULERS,,,,,,
baron_peninsular;Vel;;;;;;;;;;;;;x,,,,,,
baron_female_peninsular;Veli;;;;;;;;;;;;;x,,,,,,
count_peninsular;Mannan;;;;;;;;;;;;;x,,,,,,
count_female_peninsular;Manni;;;;;;;;;;;;;x,,,,,,
duke_peninsular;Ventan;;;;;;;;;;;;;x,,,,,,
duke_female_peninsular;Venti;;;;;;;;;;;;;x,,,,,,
king_peninsular;Arasan;;;;;;;;;;;;;x,,,,,,
king_female_peninsular;Arasi;;;;;;;;;;;;;x,,,,,,
emperor_peninsular;Perarasan;;;;;;;;;;;;;x,,,,,,
emperor_female_peninsular;Perarasi;;;;;;;;;;;;;x,,,,,,
###TITLES,,,,,,
barony_of_peninsular;Velu;;;;;;;;;;;;;x,,,,,,
county_of_peninsular;Mannu;;;;;;;;;;;;;x,,,,,,
duchy_of_peninsular;Ventu;;;;;;;;;;;;;x,,,,,,
kingdom_of_peninsular;Arasu;;;;;;;;;;;;;x,,,,,,
empire_of_peninsular;Perarasu;;;;;;;;;;;;;x,,,,,,
barony_peninsular;Velu;;;;;;;;;;;;;x,,,,,,
county_peninsular;Mannu;;;;;;;;;;;;;x,,,,,,
duchy_peninsular;Ventu;;;;;;;;;;;;;x,,,,,,
kingdom_peninsular;Arasu;;;;;;;;;;;;;x,,,,,,
empire_peninsular;Perarasu;;;;;;;;;;;;;x,,,,,,
##MISC,,,,,,
title_prince_peninsular;Iran;;;;;;;;;;;;;x,,,,,,
title_prince_female_peninsular;Iral;;;;;;;;;;;;;x,,,,,,
##JOBS,,,,,,
job_chancellor_peninsular;Utaviyaalar;;;;;;;;;;;x,,,,,,
job_spymaster_peninsular;Veyan;;;;;;;;;;;x,,,,,,
job_treasurer_peninsular;Ndirvaaki;;;;;;;;;;;x,,,,,,
job_marshal_peninsular;Maravan;;;;;;;;;;;x,,,,,,
job_spiritual_peninsular;Navalar;;;;;;;;;;;x,,,,,,
,,,,,,
##FEUDAL SINHALESE,,,,,,
###RULERS,,,,,,
baron_sinhala;Daputa;;;;;;;;;;;;;x,,,,,,
baron_female_sinhala;Daputana;;;;;;;;;;;;;x,,,,,,
count_sinhala;Takur;;;;;;;;;;;;;x,,,,,,
count_female_sinhala;Takurana;;;;;;;;;;;;;x,,,,,,
duke_sinhala;Rada;;;;;;;;;;;;;x,,,,,,
duke_female_sinhala;Radana;;;;;;;;;;;;;x,,,,,,
king_sinhala;Maharada;;;;;;;;;;;;;x,,,,,,
king_female_sinhala;Maharadana;;;;;;;;;;;;;x,,,,,,
emperor_sinhala;Surata;;;;;;;;;;;;;x,,,,,,
emperor_female_sinhala;Suradana;;;;;;;;;;;;;x,,,,,,
###TITLES_OF,,,,,,
barony_of_sinhala;Dama;;;;;;;;;;;;;x,,,,,,
county_of_sinhala;Tikana;;;;;;;;;;;;;x,,,,,,
duchy_of_sinhala;Rada;;;;;;;;;;;;;x,,,,,,
kingdom_of_sinhala;Ratura;;;;;;;;;;;;;x,,,,,,
empire_of_sinhala;Surata;;;;;;;;;;;;;x,,,,,,
###TITLES,,,,,,
barony_sinhala;Dama;;;;;;;;;;;;;x,,,,,,
county_sinhala;Tikana;;;;;;;;;;;;;x,,,,,,
duchy_sinhala;Rada;;;;;;;;;;;;;x,,,,,,
kingdom_sinhala;Ratura;;;;;;;;;;;;;x,,,,,,
empire_sinhala;Surata;;;;;;;;;;;;;x,,,,,,
##REPUBLIC,,,,,,
###RULERS,,,,,,
city_baron_sinhala;Nuvaraputa;;;;;;;;;;;;;x,,,,,,
city_baron_female_sinhala;Nuvaraputana;;;;;;;;;;;;;x,,,,,,
city_count_sinhala;Nuvarasumi;;;;;;;;;;;;;x,,,,,,
city_count_female_sinhala;Nuvarasumina;;;;;;;;;;;;;x,,,,,,
city_duke_sinhala;Mahasumi;;;;;;;;;;;;;x,,,,,,
city_duke_female_sinhala;Mahasumina;;;;;;;;;;;;;x,,,,,,
city_king_sinhala;Radasumi;;;;;;;;;;;;;x,,,,,,
city_king_female_sinhala;Radasumina;;;;;;;;;;;;;x,,,,,,
city_emperor_sinhala;Maharadasumi;;;;;;;;;;;;;x,,,,,,
city_emperor_female_sinhala;Maharadasumina;;;;;;;;;;;;;x,,,,,,
###TITLES_OF,,,,,,
city_barony_of_sinhala;Nuvara;;;;;;;;;;;;;x,,,,,,
city_county_of_sinhala;Mahanuvara;;;;;;;;;;;;;x,,,,,,
city_duchy_of_sinhala;Nuvararada;;;;;;;;;;;;;x,,,,,,
city_kingdom_of_sinhala;Mahanuvararada;;;;;;;;;;;;;x,,,,,,
city_empire_of_sinhala;Sunuvararada;;;;;;;;;;;;;x,,,,,,
###TITLES,,,,,,
city_barony_sinhala;Nuvara;;;;;;;;;;;;;x,,,,,,
city_county_sinhala;Mahanuvara;;;;;;;;;;;;;x,,,,,,
city_duchy_sinhala;Nuvararada;;;;;;;;;;;;;x,,,,,,
city_kingdom_sinhala;Mahanuvararada;;;;;;;;;;;;;x,,,,,,
city_empire_sinhala;Sunuvararada;;;;;;;;;;;;;x,,,,,,
##MISC,,,,,,
title_prince_sinhala;Kumara;;;;;;;;;;;;;x,,,,,,
title_prince_female_sinhala;Kumari;;;;;;;;;;;;;x,,,,,,
,,,,,,
##TEMPLE,,,,,,
###RULERS,,,,,,
temple_baron_nasrini_sinhala;Apikava;;;;;;;;;;;;;x,,,,,,
temple_baron_female_nasrini_sinhala;Apikavana;;;;;;;;;;;;;x,,,,,,
temple_count_nasrini_sinhala;Radapikava;;;;;;;;;;;;;x,,,,,,
temple_count_female_nasrini_sinhala;Radapikavana;;;;;;;;;;;;;x,,,,,,
temple_duke_nasrini_sinhala;Mahapikava;;;;;;;;;;;;;x,,,,,,
temple_duke_female_nasrini_sinhala;Mahapikavana;;;;;;;;;;;;;x,,,,,,
temple_king_nasrini_sinhala;Mahapiya;;;;;;;;;;;;;x,,,,,,
temple_king_female_nasrini_sinhala;Mahamava;;;;;;;;;;;;;x,,,,,,
temple_emperor_nasrini_sinhala;Sumahapiya;;;;;;;;;;;;;x,,,,,,
temple_emperor_female_nasrini_sinhala;Sumahamava;;;;;;;;;;;;;x,,,,,,
###TITLES_OF,,,,,,
temple_barony_of_nasrini_sinhala;Dokesisa;;;;;;;;;;;;;x,,,,,,
temple_county_of_nasrini_sinhala;Dokesisa;;;;;;;;;;;;;x,,,,,,
temple_duchy_of_nasrini_sinhala;Mahadokesisa;;;;;;;;;;;;;x,,,,,,
temple_kingdom_of_nasrini_sinhala;Mahapiyata;;;;;;;;;;;;;x,,,,,,
temple_empire_of_nasrini_sinhala;Sumahapiyata;;;;;;;;;;;;;x,,,,,,
###TITLES,,,,,,
temple_barony_nasrini_sinhala;Dokesisa;;;;;;;;;;;;;x,,,,,,
temple_county_nasrini_sinhala;Dokesisa;;;;;;;;;;;;;x,,,,,,
temple_duchy_nasrini_sinhala;Mahadokesisa;;;;;;;;;;;;;x,,,,,,
temple_kingdom_nasrini_sinhala;Mahapiyata;;;;;;;;;;;;;x,,,,,,
temple_empire_nasrini_sinhala;Sumahapiyata;;;;;;;;;;;;;x,,,,,,
##JOBS,,,,,,
job_spiritual_sinhala;Kapelana;;;;;;;;;;;x,,,,,,
,,,,,,
###DE_JURE_TITLES,,,,,,
b_navi_mumbai;Navi Mumbai;;;;;;;;;;;;;x,,,,,,
d_maldives;Maldives;;;;;;;;;;;;;x,,,,,,
d_jaguar;Jaguar;;;;;;;;;;;;;x,,,,,,
